Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Cyclopamine,17,HCC2218,749716,BRCA,breast,breast,4.73851181670707,0.9405262334646,16,0.040079090061564,0.060393939129802,GDSC1
Cyclopamine,17,COLO-824,906812,BRCA,breast,breast,5.05463094814026,0.977990653707764,16,0.064059665141274,0.390410743389943,GDSC1
Cyclopamine,17,DU-4475,906844,BRCA,breast,breast,4.6875087337083,0.987320257706003,16,0.043231089737065,0.007148587029916,GDSC1
Cyclopamine,17,EVSA-T,906862,BRCA,breast,breast,2.61845423432726,0.877292533581994,16,0.111900744168358,-2.15286858950125,GDSC1
Cyclopamine,17,MRK-nu-1,908151,BRCA,breast,breast,4.79152672776389,0.970197289048755,16,0.042223686726836,0.115739566095771,GDSC1
Cyclopamine,17,OCUB-M,909256,BRCA,breast,breast,4.78079450950558,0.988595943857533,16,0.045990759257446,0.104535522999196,GDSC1
Cyclopamine,17,UACC-812,910910,BRCA,breast,breast,5.70702127006765,0.98679992957497,16,0.026216277666938,1.07148236406858,GDSC1
Cyclopamine,17,MFM-223,910948,BRCA,breast,breast,5.7209368452514,0.984480303353288,16,0.03002185335597,1.08600971529457,GDSC1
Cyclopamine,17,CAL-148,924106,BRCA,breast,breast,4.92604748335584,0.986831164782826,16,0.02262503881183,0.256174311901393,GDSC1
Cyclopamine,17,BT-474,946359,BRCA,breast,breast,5.61433302580783,0.980757990528802,16,0.033319392007152,0.974719229156655,GDSC1
AZ628,29,HCC1187,749711,BRCA,breast,breast,1.50806463512474,0.901479041605594,4,0.163541969851399,-0.039775808412228,GDSC1
AZ628,29,HCC1599,749713,BRCA,breast,breast,1.18966979075602,0.855034903360489,4,0.085428990549791,-0.219432591354669,GDSC1
AZ628,29,HCC2157,749715,BRCA,breast,breast,2.51313608525444,0.943627750965016,4,0.054637249006109,0.527343623799703,GDSC1
AZ628,29,HCC2218,749716,BRCA,breast,breast,5.30717558793156,0.982975608492096,4,0.038238432026111,2.10390228152645,GDSC1
